Start frame:271, End frame:271, Time taken:62 microseconds
Start frame:272, End frame:272, Time taken:15 microseconds
Start frame:273, End frame:273, Time taken:11 microseconds
Start frame:274, End frame:274, Time taken:15 microseconds
Start frame:275, End frame:275, Time taken:13 microseconds
Start frame:276, End frame:276, Time taken:7 microseconds
Start frame:277, End frame:277, Time taken:8 microseconds
Start frame:278, End frame:278, Time taken:11 microseconds
Start frame:279, End frame:279, Time taken:7 microseconds
Start frame:280, End frame:280, Time taken:16 microseconds
Start frame:281, End frame:281, Time taken:15 microseconds
Start frame:282, End frame:282, Time taken:7 microseconds
Start frame:283, End frame:283, Time taken:7 microseconds
Start frame:284, End frame:284, Time taken:7 microseconds
Start frame:285, End frame:285, Time taken:7 microseconds
Start frame:286, End frame:286, Time taken:7 microseconds
Start frame:287, End frame:287, Time taken:7 microseconds
Start frame:288, End frame:288, Time taken:7 microseconds
Start frame:289, End frame:289, Time taken:7 microseconds
Start frame:290, End frame:290, Time taken:11 microseconds
Start frame:291, End frame:291, Time taken:7 microseconds
Start frame:292, End frame:292, Time taken:8 microseconds
Start frame:293, End frame:293, Time taken:7 microseconds
Start frame:294, End frame:294, Time taken:9 microseconds
Start frame:295, End frame:295, Time taken:11 microseconds
Start frame:296, End frame:296, Time taken:11 microseconds
Start frame:297, End frame:297, Time taken:7 microseconds
Start frame:298, End frame:298, Time taken:7 microseconds
Start frame:299, End frame:299, Time taken:11 microseconds
Start frame:300, End frame:300, Time taken:7 microseconds
Start frame:301, End frame:301, Time taken:7 microseconds
Start frame:302, End frame:302, Time taken:7 microseconds
Start frame:303, End frame:303, Time taken:7 microseconds
Start frame:304, End frame:304, Time taken:7 microseconds
Start frame:305, End frame:305, Time taken:7 microseconds
Start frame:306, End frame:306, Time taken:7 microseconds
Start frame:307, End frame:307, Time taken:8 microseconds
Start frame:308, End frame:308, Time taken:15 microseconds
Start frame:309, End frame:309, Time taken:7 microseconds
Start frame:310, End frame:310, Time taken:7 microseconds
Start frame:311, End frame:311, Time taken:7 microseconds
Start frame:312, End frame:312, Time taken:7 microseconds
Start frame:313, End frame:313, Time taken:7 microseconds
Start frame:314, End frame:314, Time taken:11 microseconds
Start frame:315, End frame:315, Time taken:7 microseconds
Start frame:316, End frame:316, Time taken:7 microseconds
Start frame:317, End frame:317, Time taken:7 microseconds
Start frame:318, End frame:318, Time taken:7 microseconds
Start frame:319, End frame:319, Time taken:8 microseconds
Start frame:320, End frame:320, Time taken:7 microseconds
Start frame:321, End frame:321, Time taken:13 microseconds
Start frame:322, End frame:322, Time taken:16 microseconds
Start frame:323, End frame:323, Time taken:7 microseconds
Start frame:324, End frame:324, Time taken:7 microseconds
Start frame:325, End frame:325, Time taken:11 microseconds
Start frame:326, End frame:326, Time taken:7 microseconds
Start frame:327, End frame:327, Time taken:7 microseconds
Start frame:328, End frame:328, Time taken:7 microseconds
Start frame:329, End frame:329, Time taken:7 microseconds
Start frame:330, End frame:330, Time taken:7 microseconds
Start frame:331, End frame:331, Time taken:7 microseconds
Start frame:332, End frame:332, Time taken:7 microseconds
Start frame:333, End frame:333, Time taken:7 microseconds
Start frame:334, End frame:334, Time taken:7 microseconds
Start frame:335, End frame:335, Time taken:7 microseconds
Start frame:336, End frame:336, Time taken:10 microseconds
Start frame:337, End frame:337, Time taken:7 microseconds
Start frame:338, End frame:338, Time taken:7 microseconds
Start frame:339, End frame:339, Time taken:7 microseconds
Start frame:340, End frame:340, Time taken:7 microseconds
Start frame:341, End frame:341, Time taken:7 microseconds
Start frame:342, End frame:342, Time taken:7 microseconds
Start frame:343, End frame:343, Time taken:7 microseconds
Start frame:344, End frame:344, Time taken:11 microseconds
Start frame:345, End frame:345, Time taken:7 microseconds
Start frame:346, End frame:346, Time taken:14 microseconds
Start frame:347, End frame:347, Time taken:11 microseconds
Start frame:348, End frame:348, Time taken:7 microseconds
Start frame:349, End frame:349, Time taken:7 microseconds
Start frame:350, End frame:350, Time taken:17 microseconds
Start frame:351, End frame:351, Time taken:7 microseconds
Start frame:352, End frame:352, Time taken:7 microseconds
Start frame:353, End frame:353, Time taken:7 microseconds
Start frame:354, End frame:354, Time taken:7 microseconds
Start frame:355, End frame:355, Time taken:7 microseconds
Start frame:356, End frame:356, Time taken:11 microseconds
Start frame:357, End frame:357, Time taken:7 microseconds
Start frame:358, End frame:358, Time taken:7 microseconds
Start frame:359, End frame:359, Time taken:7 microseconds
Start frame:360, End frame:360, Time taken:11 microseconds
Start frame:361, End frame:361, Time taken:10 microseconds
Start frame:362, End frame:362, Time taken:9 microseconds
Start frame:363, End frame:363, Time taken:7 microseconds
Start frame:364, End frame:364, Time taken:11 microseconds
Start frame:365, End frame:365, Time taken:7 microseconds
Start frame:366, End frame:366, Time taken:12 microseconds
Start frame:367, End frame:367, Time taken:7 microseconds
Start frame:368, End frame:368, Time taken:7 microseconds
Start frame:369, End frame:369, Time taken:7 microseconds
Start frame:370, End frame:370, Time taken:7 microseconds
Start frame:371, End frame:371, Time taken:7 microseconds
Start frame:372, End frame:372, Time taken:7 microseconds
Start frame:373, End frame:373, Time taken:7 microseconds
Start frame:374, End frame:374, Time taken:11 microseconds
Start frame:375, End frame:375, Time taken:11 microseconds
Start frame:376, End frame:376, Time taken:7 microseconds
Start frame:377, End frame:377, Time taken:7 microseconds
Start frame:378, End frame:378, Time taken:7 microseconds
Start frame:379, End frame:379, Time taken:7 microseconds
Start frame:380, End frame:380, Time taken:7 microseconds
Start frame:381, End frame:381, Time taken:7 microseconds
Start frame:382, End frame:382, Time taken:7 microseconds
Start frame:383, End frame:383, Time taken:7 microseconds
Start frame:384, End frame:384, Time taken:7 microseconds
Start frame:385, End frame:385, Time taken:7 microseconds
Start frame:386, End frame:386, Time taken:8 microseconds
Start frame:387, End frame:387, Time taken:15 microseconds
Start frame:388, End frame:388, Time taken:12 microseconds
Start frame:389, End frame:389, Time taken:11 microseconds
Start frame:390, End frame:390, Time taken:7 microseconds
Start frame:391, End frame:391, Time taken:11 microseconds
Start frame:392, End frame:392, Time taken:7 microseconds
Start frame:393, End frame:393, Time taken:7 microseconds
Start frame:394, End frame:394, Time taken:7 microseconds
Start frame:395, End frame:395, Time taken:7 microseconds
Start frame:396, End frame:396, Time taken:7 microseconds
Start frame:397, End frame:397, Time taken:7 microseconds
Start frame:398, End frame:398, Time taken:7 microseconds
Start frame:399, End frame:399, Time taken:7 microseconds
Start frame:400, End frame:400, Time taken:7 microseconds
Start frame:401, End frame:401, Time taken:7 microseconds
Start frame:402, End frame:402, Time taken:7 microseconds
Start frame:403, End frame:403, Time taken:7 microseconds
Start frame:404, End frame:404, Time taken:7 microseconds
Start frame:405, End frame:405, Time taken:7 microseconds
Start frame:406, End frame:406, Time taken:7 microseconds
Start frame:407, End frame:407, Time taken:7 microseconds
Start frame:408, End frame:408, Time taken:7 microseconds
Start frame:409, End frame:409, Time taken:7 microseconds
Start frame:410, End frame:410, Time taken:8 microseconds
Start frame:411, End frame:411, Time taken:7 microseconds
Start frame:412, End frame:412, Time taken:9 microseconds
Start frame:413, End frame:413, Time taken:7 microseconds
Start frame:414, End frame:414, Time taken:11 microseconds
Start frame:415, End frame:415, Time taken:7 microseconds
Start frame:416, End frame:416, Time taken:7 microseconds
Start frame:417, End frame:417, Time taken:7 microseconds
Start frame:418, End frame:418, Time taken:7 microseconds
Start frame:419, End frame:419, Time taken:7 microseconds
Start frame:420, End frame:420, Time taken:7 microseconds
Start frame:421, End frame:421, Time taken:11 microseconds
Start frame:422, End frame:422, Time taken:7 microseconds
Start frame:423, End frame:423, Time taken:7 microseconds
Start frame:424, End frame:424, Time taken:10 microseconds
Start frame:425, End frame:425, Time taken:7 microseconds
Start frame:426, End frame:426, Time taken:7 microseconds
Start frame:427, End frame:427, Time taken:7 microseconds
Start frame:428, End frame:428, Time taken:8 microseconds
Start frame:429, End frame:429, Time taken:7 microseconds
Start frame:430, End frame:430, Time taken:8 microseconds
Start frame:431, End frame:431, Time taken:7 microseconds
Start frame:432, End frame:432, Time taken:8 microseconds
Start frame:433, End frame:433, Time taken:7 microseconds
Start frame:434, End frame:434, Time taken:8 microseconds
Start frame:435, End frame:435, Time taken:7 microseconds
Start frame:436, End frame:436, Time taken:16 microseconds
Start frame:437, End frame:437, Time taken:16 microseconds
Start frame:438, End frame:438, Time taken:14 microseconds
Start frame:439, End frame:439, Time taken:11 microseconds
Start frame:440, End frame:440, Time taken:7 microseconds
Start frame:441, End frame:441, Time taken:11 microseconds
Start frame:442, End frame:442, Time taken:8 microseconds
Start frame:443, End frame:443, Time taken:7 microseconds
Start frame:444, End frame:444, Time taken:7 microseconds
Start frame:445, End frame:445, Time taken:8 microseconds
Start frame:446, End frame:446, Time taken:7 microseconds
Start frame:447, End frame:447, Time taken:7 microseconds
Start frame:448, End frame:448, Time taken:7 microseconds
Start frame:449, End frame:449, Time taken:9 microseconds
Start frame:450, End frame:450, Time taken:7 microseconds
Start frame:451, End frame:451, Time taken:8 microseconds
Start frame:452, End frame:452, Time taken:8 microseconds
Start frame:453, End frame:453, Time taken:8 microseconds
Start frame:454, End frame:454, Time taken:16 microseconds
Start frame:455, End frame:455, Time taken:7 microseconds
Start frame:456, End frame:456, Time taken:7 microseconds
Start frame:457, End frame:457, Time taken:7 microseconds
Start frame:458, End frame:458, Time taken:7 microseconds
Start frame:459, End frame:459, Time taken:7 microseconds
Start frame:460, End frame:460, Time taken:7 microseconds
Start frame:461, End frame:461, Time taken:8 microseconds
Start frame:462, End frame:462, Time taken:8 microseconds
Start frame:463, End frame:463, Time taken:7 microseconds
Start frame:464, End frame:464, Time taken:7 microseconds
Start frame:465, End frame:465, Time taken:7 microseconds
